id,accuracy,all_correct
IRC01,1.0,True
IRC02,1.0,True
IRC03,1.0,True
IRC04,1.0,True
IRC05,1.0,True
IRC06,1.0,True
IRC07,0.75,False
IRC08,1.0,True
IRC09,1.0,True
IRC10,1.0,True
IRC11,1.0,True
IRC12,1.0,True
IRC13,1.0,True
IRC14,0.75,False
IRC15,1.0,True
IRC16,1.0,True
IRC17,1.0,True
IRC18,1.0,True
LSP01,0.0,False
LSP02,0.0,False
LSP03,1.0,True
LSP04,0.5,False
LSP05,1.0,True
LSP06,1.0,True
LSP07,0.5,False
LSP08,1.0,True
LSP09,1.0,True
LSP10,1.0,True
LSP11,1.0,True
LSP12,0.0,False
LSP13,0.0,False
LSP14,1.0,True
LSP15,1.0,True
LSP16,1.0,True
LSP17,1.0,True
LSP18,1.0,True
LSP19,1.0,True
LSP20,1.0,True
ORE01,1.0,True
ORE02,1.0,True
ORE03,0.0,False
ORE04,1.0,True
ORE05,1.0,True
ORE06,1.0,True
ORE07,0.5,False
ORE08,1.0,True
ORE09,1.0,True
ORE10,1.0,True
ORE11,1.0,True
ORE12,1.0,True
ORE13,1.0,True
ORE14,1.0,True
ORE15,1.0,True
ORE16,1.0,True
ORE17,1.0,True
ORE18,1.0,True
RSR01,1.0,True
RSR02,0.75,False
RSR03,1.0,True
RSR04,1.0,True
RSR05,1.0,True
RSR06,0.0,False
RSR07,0.75,False
RSR08,0.0,False
RSR09,1.0,True
RSR10,1.0,True
RSR11,1.0,True
RSR12,1.0,True
RSR13,1.0,True
RSR14,1.0,True
RSR15,1.0,True
RSR16,0.75,False
RSR17,1.0,True
RSR18,1.0,True
RSR19,1.0,True
RSR20,1.0,True
RSR21,1.0,True
RSR22,1.0,True
RSR23,0.75,False
RSR24,1.0,True
RSR25,0.25,False
RSR26,1.0,True
RSR27,0.75,False
RSR28,1.0,True
RSR29,1.0,True
RSR30,1.0,True
RSR31,1.0,True
RSR32,1.0,True
TPS01,1.0,True
TPS02,0.75,False
TPS03,0.75,False
TPS04,1.0,True
TPS05,1.0,True
TPS06,0.0,False
TPS07,0.75,False
TPS08,1.0,True
TPS09,0.0,False
TPS10,1.0,True
TPS11,0.5,False
TPS12,1.0,True
TPS13,1.0,True
TPS14,1.0,True
TPS15,1.0,True
TPS16,0.75,False
TPS17,0.5,False
TPS18,1.0,True
TPS19,0.0,False
TPS20,0.0,False
TPS21,1.0,True
TPS22,1.0,True
TPS23,1.0,True
TPS24,0.25,False
TPS25,1.0,True
TSR01,0.75,False
TSR02,1.0,True
TSR03,1.0,True
TSR04,1.0,True
TSR05,1.0,True
TSR06,1.0,True
TSR07,1.0,True
TSR08,1.0,True
TSR09,1.0,True
TSR10,1.0,True
TSR11,1.0,True
TSR12,1.0,True
TSR13,1.0,True
