id,accuracy,all_correct
IRC01,1.0,True
IRC02,1.0,True
IRC03,1.0,True
IRC04,0.75,False
IRC05,1.0,True
IRC06,1.0,True
IRC07,0.5,False
IRC08,1.0,True
IRC09,1.0,True
IRC10,1.0,True
IRC11,1.0,True
IRC12,1.0,True
IRC13,1.0,True
IRC14,0.5,False
IRC15,1.0,True
IRC16,1.0,True
IRC17,1.0,True
IRC18,1.0,True
LSP01,0.25,False
LSP02,0.0,False
LSP03,1.0,True
LSP04,1.0,True
LSP05,1.0,True
LSP06,0.25,False
LSP07,0.0,False
LSP08,1.0,True
LSP09,1.0,True
LSP10,1.0,True
LSP11,1.0,True
LSP12,0.0,False
LSP13,0.25,False
LSP14,1.0,True
LSP15,1.0,True
LSP16,1.0,True
LSP17,1.0,True
LSP18,0.75,False
LSP19,1.0,True
LSP20,1.0,True
ORE01,1.0,True
ORE02,1.0,True
ORE03,0.5,False
ORE04,1.0,True
ORE05,1.0,True
ORE06,1.0,True
ORE07,1.0,True
ORE08,1.0,True
ORE09,0.0,False
ORE10,1.0,True
ORE11,1.0,True
ORE12,1.0,True
ORE13,1.0,True
ORE14,1.0,True
ORE15,1.0,True
ORE16,1.0,True
ORE17,1.0,True
ORE18,1.0,True
RSR01,1.0,True
RSR02,0.75,False
RSR03,0.0,False
RSR04,1.0,True
RSR05,0.0,False
RSR06,0.0,False
RSR07,0.75,False
RSR08,0.75,False
RSR09,1.0,True
RSR10,1.0,True
RSR11,1.0,True
RSR12,1.0,True
RSR13,0.75,False
RSR14,1.0,True
RSR15,1.0,True
RSR16,0.25,False
RSR17,1.0,True
RSR18,1.0,True
RSR19,1.0,True
RSR20,1.0,True
RSR21,1.0,True
RSR22,1.0,True
RSR23,1.0,True
RSR24,0.0,False
RSR25,1.0,True
RSR26,1.0,True
RSR27,0.5,False
RSR28,0.5,False
RSR29,1.0,True
RSR30,1.0,True
RSR31,1.0,True
RSR32,0.5,False
TPS01,1.0,True
TPS02,0.75,False
TPS03,0.5,False
TPS04,1.0,True
TPS05,0.0,False
TPS06,1.0,True
TPS07,1.0,True
TPS08,0.25,False
TPS09,0.75,False
TPS10,1.0,True
TPS11,0.5,False
TPS12,1.0,True
TPS13,0.75,False
TPS14,1.0,True
TPS15,0.5,False
TPS16,0.75,False
TPS17,0.25,False
TPS18,1.0,True
TPS19,0.75,False
TPS20,0.0,False
TPS21,0.25,False
TPS22,1.0,True
TPS23,0.0,False
TPS24,0.5,False
TPS25,0.75,False
TSR01,0.5,False
TSR02,1.0,True
TSR03,1.0,True
TSR04,0.75,False
TSR05,1.0,True
TSR06,1.0,True
TSR07,1.0,True
TSR08,1.0,True
TSR09,0.75,False
TSR10,1.0,True
TSR11,1.0,True
TSR12,1.0,True
TSR13,1.0,True
